asin,product_title,category,sub_category,date,units_sold,selling_price,unit_cost,fba_fees,revenue,profit_margin_pct,bsr_rank,stock_level,profit_per_unit,calc_revenue
B0BJ23V576,"NaturaCare Natural Anti-Frizz Hair Serum-100Ml Formulated With Olive Oil,Amlajojoba Oil & Hibiscus Oil ||Tame Your Frizz With Our Advanced Anti-Frizz Hair Serum-Say Goodbye To Unmanageable Hair",Hair Care,Anti-Frizz Hair Serum,2026-02-23,1,479.5,0.0,18.19,479.5,96.20646506777894,0,0,461.31,479.5
B0BJ112C43,"NaturaCare Silk & Smooth Hair Conditioning Shampoo-200ml ||Nourish and Rejuvenate with Natural Silk & Smooth Hair Conditioning Shampoo - Soft, Shiny, and Healthy Hair Guaranteed||",Hair Shampoos,Conditioning Shampoo,2026-02-23,1,609.65,0.0,19.28,609.65,96.83752973017306,0,0,590.37,609.65
B0CV14GGRY,"NaturaCare Nalangu maavu|| Traditional Herbal Powder|| Gives shine & Glow | Natural Skin Care & Cleansing Powder | Brightens, Exfoliates & Nourishes Skin | Ayurvedic Beauty Ritual""",Body care,Nalangu Mavvu,2026-02-23,9,592.04,0.0,22.19,4144.25,96.25194243632185,0,0,569.8499999999999,5328.36
B0F6K4ZJX4,"NaturaCare Natural Saffron Night Gel -100g || Revitalize Your Skin with Our Saffron Infused Night Gel- Experience Radiant, Youthful Results |Lightweight Overnight Repair",Face gel,Saffron Night Gel,2026-02-24,4,541.15,0.0,14.74,1623.45,97.2761711170655,0,0,526.41,2164.6
B0F6MZ1NRQ,"NaturaCare Anti-Dandruff Shampoo, 100m| Effective Scalp Treatment | Controls Flakes & Itch| Nourishing Formula for Healthy Hair",Hair Shampoos,Anti Dandruff Shampoo,2026-02-24,4,404.15,68.5,6.34,1212.45,81.48212297414327,0,0,329.31,1616.6
B0GLP2HXBF,NaturaCare Gluta Spark Glutathione + Vitamin C 20 Effervescent Tablets | With Hydration support & Antioxidant blend | Zero Sugar Skin Glow Drink | For Clear & Glowing Skin,General,Unknown,2026-02-24,1,1164.5,0.0,0.0,1164.5,100.0,0,0,1164.5,1164.5
B0F6N5XPBS,"NaturaCare Naturals Premium Herbal Shampoo | Volumizing, Nourishing & Anti Hair Fall | Paraben & Sulphate Free for All Hair Types | Natural Growth & Scalp Strength | 200 ml",Hair Shampoos,Herbal Shampoo,2026-02-24,5,404.15,0.0,10.28,1616.6,97.45638995422492,0,0,393.87,2020.75
B0GDQW22JN,NaturaCare Naturals Choco Malt 250g | Multi Grain Instant Health Drink Mix with Natural Cocoa | Energy & Nutrition Booster,Milk Mixtures,Choco Malt,2026-02-24,2,548.0,0.0,17.78,1096.0,96.75547445255475,0,0,530.22,1096.0
B0G94NLS8S,"NaturaCare Naturals Biotin Hair Gummies | Supports Hair Growth & Hair Fall Control | With Zinc, Vitamins & Prebiotics | No Added Sugar | 30 Gummies",Hair Care,Biotin Hair Gummies,2026-02-24,4,609.65,0.0,21.92,1828.95,96.40449438202248,0,0,587.73,2438.6
B0GDQPQ8VK,NaturaCare Naturals Paruthi Paal Powder 250g | Traditional Cotton Seed Health Mix | Natural Energy Drink Mix,Milk Mixtures,Paruthi Paal Powder,2026-02-24,1,548.0,0.0,17.78,548.0,96.75547445255475,0,0,530.22,548.0
B0DZTKSRX7,"NaturaCare ABC Malt Health Drink Powder – Apple, Beetroot & Carrot Blend | Immunity Booster & Natural Energy | Antioxidant-Rich Daily Nutrition | 200 g",Milk Mixtures,Abc Malt,2026-02-24,5,615.13,0.0,22.54,2460.52,96.33573390990523,0,0,592.59,3075.65
B0G4368ZFX,"NaturaCare Naturals 500gm Natural Mass Powder for Weight Gain – 1,200+ Calories, Fast Muscle Growth Supplement, High-Calorie Formula for Men & Women",Weight Management,Weight Gain,2026-02-24,2,616.5,0.0,27.11,1233.0,95.60259529602595,0,0,589.39,1233.0
